2026-04-04 03:44:14,562 - INFO - 🦞🦀🦐 PinchBench - OpenClaw Benchmarking

░       ░░░        ░░   ░░░  ░░░      ░░░  ░░░░  ░░       ░░░        ░░   ░░░  ░░░      ░░░  ░░░░  ░
▒  ▒▒▒▒  ▒▒▒▒▒  ▒▒▒▒▒    ▒▒  ▒▒  ▒▒▒▒  ▒▒  ▒▒▒▒  ▒▒  ▒▒▒▒  ▒▒  ▒▒▒▒▒▒▒▒    ▒▒  ▒▒  ▒▒▒▒  ▒▒  ▒▒▒▒  ▒
▓       ▓▓▓▓▓▓  ▓▓▓▓▓  ▓  ▓  ▓▓  ▓▓▓▓▓▓▓▓        ▓▓       ▓▓▓      ▓▓▓▓  ▓  ▓  ▓▓  ▓▓▓▓▓▓▓▓        ▓
█  ███████████  █████  ██    ██  ████  ██  ████  ██  ████  ██  ████████  ██    ██  ████  ██  ████  █
█  ████████        ██  ███   ███      ███  ████  ██       ███        ██  ███   ███      ███  ████  █

                                                           @%@%%@                       
                                             %*+#++#@   %+-=-....=@                     
                                    @@%%%##%--+.....:# @=-=.:-.:-.=                     
                  #%###%##++=---------+#==+-:+.+%++%==-+:-=-#####+.@                    
            %+----------------------*%%@@@%-:=:#####+-=+--=.+####.-+=#@                 
            %+====+*##+=====--------------=--=.-###+.=++##=-..+=.:+--=@                 
            %+================+*##*+++++**+==+=.....==----=*=---+----=@                 
            #+========================--------=#=-==-----------------=@                 
            #+========================-------------------------------=@                 
            **========================---------------------------++--+@                 
            @%*+======================------++--=#+--------------==-=#@                 
            @%%%%%###*+===============------#%--=#+--------=++++#%%###%%@               
             @@@%@%%%%%%@%###+========------==--=+**+*#%%#######%%%%%%%%%%%@            
             @@%%@@@%%@@@%%%%%%%%%####+++**#%%########%%%%%%@@%%@  @@@@###%%@@          
            @@%#%@@%%@@@@%%@@@@@@%%%%%#####%%%%%%@@@@@@@@%%@@%%#%     @@%%#####%@       
            @%#%%@%##@ @%#%@  @@%%@@@%%%%@@     @@@ @%@ @@%@@@%#%     @@%#######%@      
            @%%@@%##%@@%##%@ @@%#% @@%#%%@@         @@  @%%@ @%%@     @@%########%@     
            @@%%@@%%@ @%##%@ @%###@ @@%#####%@@@@       @@  @%%@      @%%#%#######%     
             @%%@%#%@ @@%%@  @%###@  @@%###%######%%##%%@   @@@       @%#%@%######%     
              @@ @%%@  @%%@  @@%%@    @@%%%########%######%@          @%%%@@#####%@     
                  @@@  @@%%@  @%#%      @@%#########@@@@@@%%@         @@%@ %####%@      
                        @@%@   @%#@       @%###########@@@@%@             @%##%@        
                                @%%        @%%##############%@            @@            
                                            @@%%%########%@@                            
                                               @@@%%%%%@@@                              
                                                                                        
                                                                                        
                                                                                        

2026-04-04 03:44:14,562 - INFO - 🦞🦀🦐 Starting PinchBench 🦐🦀🦞
2026-04-04 03:44:19,575 - INFO - 🔧 Initializing BenchmarkRunner...
2026-04-04 03:44:19,575 - INFO - Initialized TaskLoader with directory: /root/workspace/skill/tasks
2026-04-04 03:44:19,575 - INFO - Initialized BenchmarkRunner
2026-04-04 03:44:19,575 - INFO - 📂 Loading tasks from directory...
2026-04-04 03:44:19,575 - INFO - Loading tasks...
2026-04-04 03:44:19,578 - INFO - Found 210 task files
2026-04-04 03:44:19,596 - INFO - Successfully loaded task: task_advancedif_00
2026-04-04 03:44:19,599 - INFO - Successfully loaded task: task_advancedif_01
2026-04-04 03:44:19,604 - INFO - Successfully loaded task: task_advancedif_02
2026-04-04 03:44:19,606 - INFO - Successfully loaded task: task_advancedif_03
2026-04-04 03:44:19,607 - INFO - Successfully loaded task: task_advancedif_04
2026-04-04 03:44:19,621 - INFO - Successfully loaded task: task_advancedif_05
2026-04-04 03:44:19,623 - INFO - Successfully loaded task: task_advancedif_06
2026-04-04 03:44:19,626 - INFO - Successfully loaded task: task_advancedif_07
2026-04-04 03:44:19,629 - INFO - Successfully loaded task: task_advancedif_08
2026-04-04 03:44:19,633 - INFO - Successfully loaded task: task_advancedif_09
2026-04-04 03:44:19,635 - INFO - Successfully loaded task: task_bamboogle_00
2026-04-04 03:44:19,643 - INFO - Successfully loaded task: task_bamboogle_01
2026-04-04 03:44:19,644 - INFO - Successfully loaded task: task_bamboogle_02
2026-04-04 03:44:19,645 - INFO - Successfully loaded task: task_bamboogle_03
2026-04-04 03:44:19,646 - INFO - Successfully loaded task: task_bamboogle_04
2026-04-04 03:44:19,650 - INFO - Successfully loaded task: task_bamboogle_05
2026-04-04 03:44:19,651 - INFO - Successfully loaded task: task_bamboogle_06
2026-04-04 03:44:19,653 - INFO - Successfully loaded task: task_bamboogle_07
2026-04-04 03:44:19,657 - INFO - Successfully loaded task: task_bamboogle_08
2026-04-04 03:44:19,658 - INFO - Successfully loaded task: task_bamboogle_09
2026-04-04 03:44:19,659 - INFO - Successfully loaded task: task_charxiv_00
2026-04-04 03:44:19,662 - INFO - Successfully loaded task: task_charxiv_01
2026-04-04 03:44:19,663 - INFO - Successfully loaded task: task_charxiv_02
2026-04-04 03:44:19,664 - INFO - Successfully loaded task: task_charxiv_03
2026-04-04 03:44:19,665 - INFO - Successfully loaded task: task_charxiv_04
2026-04-04 03:44:19,669 - INFO - Successfully loaded task: task_charxiv_05
2026-04-04 03:44:19,669 - INFO - Successfully loaded task: task_charxiv_06
2026-04-04 03:44:19,670 - INFO - Successfully loaded task: task_charxiv_07
2026-04-04 03:44:19,674 - INFO - Successfully loaded task: task_charxiv_08
2026-04-04 03:44:19,675 - INFO - Successfully loaded task: task_charxiv_09
2026-04-04 03:44:19,676 - INFO - Successfully loaded task: task_deepsearchqa_00
2026-04-04 03:44:19,680 - INFO - Successfully loaded task: task_deepsearchqa_01
2026-04-04 03:44:19,681 - INFO - Successfully loaded task: task_deepsearchqa_02
2026-04-04 03:44:19,683 - INFO - Successfully loaded task: task_deepsearchqa_03
2026-04-04 03:44:19,687 - INFO - Successfully loaded task: task_deepsearchqa_04
2026-04-04 03:44:19,688 - INFO - Successfully loaded task: task_deepsearchqa_05
2026-04-04 03:44:19,689 - INFO - Successfully loaded task: task_deepsearchqa_06
2026-04-04 03:44:19,693 - INFO - Successfully loaded task: task_deepsearchqa_07
2026-04-04 03:44:19,694 - INFO - Successfully loaded task: task_deepsearchqa_08
2026-04-04 03:44:19,698 - INFO - Successfully loaded task: task_deepsearchqa_09
2026-04-04 03:44:19,699 - INFO - Successfully loaded task: task_finqa_00
2026-04-04 03:44:19,700 - INFO - Successfully loaded task: task_finqa_01
2026-04-04 03:44:19,704 - INFO - Successfully loaded task: task_finqa_02
